symbol,date,open,high,low,close,volume,change,percent_change,year
VNO,2016-12-19,103.89,104.79,103.51,103.91,1123277,0.02,0.02,2016
NBL,2014-09-17,71.5,71.63,70.58,71.17,1955639,-0.33,-0.46,2014
FLR,2016-01-04,46.53,47.76,46.26,47.71,1645312,1.18,2.54,2016
WHR,2015-11-12,157.16,157.16,155.1,155.5,800809,-1.66,-1.06,2015
DRI,2016-01-06,62.83,63.6,62.56,62.92,2001050,0.09,0.14,2016
OXY,2014-03-24,94.39,94.61,93.27,93.87,4385976,-0.52,-0.55,2014
HOG,2016-12-23,57.96,58.25,57.63,58.18,1019398,0.22,0.38,2016
BDX,2017-04-06,183.08,183.8,182.34,183.4,713464,0.32,0.17,2017
NBL,2014-03-19,67.34,67.38,65.7,65.96,2064336,-1.38,-2.05,2014
FFIV,2017-11-02,119.52,121.66,119.51,121.01,954261,1.49,1.25,2017
DVA,2017-06-26,63.86,64.89,63.77,64.45,1149985,0.59,0.92,2017
AAPL,2016-03-07,102.39,102.83,100.96,101.87,35915810,-0.52,-0.51,2016
URI,2014-11-11,114.0,115.22,112.67,113.98,975022,-0.02,-0.02,2014
DRI,2015-09-24,70.78,71.67,69.94,71.46,1673959,0.68,0.96,2015
ICE,2015-09-11,46.98,47.28,46.53,47.25,3659125,0.27,0.57,2015
FE,2016-10-03,33.07,33.07,32.23,32.3,4786749,-0.77,-2.33,2016
AVB,2015-08-21,176.91,177.76,173.44,173.44,872546,-3.47,-1.96,2015
EXC,2015-06-29,32.08,32.42,31.79,31.8,4868190,-0.28,-0.87,2015
NFX,2017-04-04,36.83,37.15,36.32,37.14,2129898,0.31,0.84,2017
SJM,2015-08-18,109.02,110.13,108.63,108.97,650689,-0.05,-0.05,2015
HRB,2016-09-29,22.87,23.04,22.58,22.65,1498012,-0.22,-0.96,2016
GPC,2017-05-12,91.6,91.76,91.01,91.44,516035,-0.16,-0.17,2017
TAP,2015-09-18,81.52,84.52,81.52,84.38,7130496,2.86,3.51,2015
SIG,2014-02-06,76.84,78.51,75.92,78.44,1066911,1.6,2.08,2014
AEP,2016-02-01,61.0,62.56,60.82,61.79,5033460,0.79,1.3,2016
HRB,2015-10-05,36.73,36.82,35.75,35.94,13012382,-0.79,-2.15,2015
CCI,2015-03-02,86.6,87.51,86.15,86.39,3098180,-0.21,-0.24,2015
DUK,2015-10-06,72.99,73.44,72.34,73.09,4497806,0.1,0.14,2015
BHF,2017-08-04,64.94,65.05,64.44,64.57,335368,-0.37,-0.57,2017
SRE,2016-03-04,98.42,98.86,97.31,97.86,1105964,-0.56,-0.57,2016
CERN,2014-11-26,63.36,64.03,63.07,63.7,1306600,0.34,0.54,2014
COG,2016-02-05,20.79,21.12,20.07,20.66,8257910,-0.13,-0.63,2016
LUV,2015-06-12,34.54,35.29,34.36,35.0,9808044,0.46,1.33,2015
AMGN,2017-08-03,173.52,174.71,173.26,174.18,1725912,0.66,0.38,2017
APA,2017-04-13,53.62,54.29,52.21,52.37,4445383,-1.25,-2.33,2017
IRM,2016-10-07,34.04,34.47,33.37,33.57,1852054,-0.47,-1.38,2016
HRB,2017-07-07,31.37,31.48,30.93,31.37,2886717,0.0,0.0,2017
MLM,2014-02-05,104.96,107.14,104.76,106.42,535425,1.46,1.39,2014
TMO,2016-11-01,148.0,148.0,144.34,146.02,1900589,-1.98,-1.34,2016
SPG,2015-03-23,197.32,199.09,195.83,197.54,2100886,0.22,0.11,2015
KIM,2016-05-05,28.94,29.32,28.73,29.21,3808383,0.27,0.93,2016
DFS,2015-11-05,56.42,56.93,56.34,56.91,2826650,0.49,0.87,2015
TPR,2017-01-09,35.58,35.6,34.89,34.99,2857814,-0.59,-1.66,2017
TXN,2016-11-25,73.87,74.61,73.73,74.43,1978800,0.56,0.76,2016
VTR,2016-12-23,61.29,61.52,60.41,60.86,1035070,-0.43,-0.7,2016
REGN,2016-02-02,412.68,415.63,402.23,409.89,887522,-2.79,-0.68,2016
ABBV,2017-08-10,72.01,72.19,70.39,70.44,5940330,-1.57,-2.18,2017
MMM,2017-10-19,218.49,219.25,217.47,219.24,1369000,0.75,0.34,2017
ZBH,2017-11-06,109.32,110.52,108.95,109.34,2515318,0.02,0.02,2017
CMA,2015-08-03,47.52,47.6,46.58,46.99,2030480,-0.53,-1.12,2015
MAT,2014-03-03,37.46,37.5,36.84,36.9,3459359,-0.56,-1.49,2014
COF,2016-05-18,68.83,71.01,68.66,70.98,4339188,2.15,3.12,2016
ARNC,2017-05-09,27.1,27.39,27.01,27.26,2110121,0.16,0.59,2017
CLX,2017-01-25,121.6,121.7,120.58,121.47,814489,-0.13,-0.11,2017
FOXA,2014-04-25,32.69,32.84,32.52,32.64,11021878,-0.05,-0.15,2014
MDT,2015-01-23,75.85,77.39,75.47,76.95,23255346,1.1,1.45,2015
EIX,2015-01-23,68.4,68.69,68.1,68.39,1224729,-0.01,-0.01,2015
T,2017-01-20,41.33,41.87,41.29,41.45,25164892,0.12,0.29,2017
SIG,2015-11-20,140.86,141.94,137.14,137.6,1783567,-3.26,-2.31,2015
SLB,2016-08-09,83.03,83.04,81.48,81.83,4143756,-1.2,-1.45,2016
PFG,2015-09-09,49.2,50.0,47.67,47.78,1817243,-1.42,-2.89,2015
ADM,2015-10-29,46.64,46.72,45.46,45.53,4298102,-1.11,-2.38,2015
DVN,2017-04-25,39.81,40.68,39.66,40.59,3726799,0.78,1.96,2017
K,2017-07-10,66.54,66.69,65.78,65.87,2589777,-0.67,-1.01,2017
SWK,2014-03-19,80.59,80.71,79.05,79.54,1079329,-1.05,-1.3,2014
D,2016-07-28,76.52,77.17,76.25,76.94,2360795,0.42,0.55,2016
ABBV,2014-05-09,52.07,52.34,51.08,52.26,5012523,0.19,0.36,2014
RF,2017-08-02,14.7,14.85,14.64,14.83,13688191,0.13,0.88,2017
CHTR,2016-08-18,257.35,258.88,253.42,254.83,1700659,-2.52,-0.98,2016
CTAS,2017-02-08,114.53,114.94,113.79,114.35,427150,-0.18,-0.16,2017
DHI,2017-10-06,40.71,41.3,40.65,41.08,4131668,0.37,0.91,2017
STT,2017-06-16,89.02,89.07,87.94,88.25,3223733,-0.77,-0.86,2017
OKE,2014-08-19,66.49,67.24,66.43,67.2,755702,0.71,1.07,2014
EA,2017-08-23,118.65,119.37,117.55,118.18,1297809,-0.47,-0.4,2017
INTC,2016-12-14,36.7,36.89,36.46,36.55,30819365,-0.15,-0.41,2016
DPS,2017-07-28,91.91,92.05,90.37,90.84,1498050,-1.07,-1.16,2017
INFO,2017-01-26,39.67,39.98,39.38,39.46,2331276,-0.21,-0.53,2017
ICE,2016-12-01,55.5,56.4,55.38,56.35,4136041,0.85,1.53,2016
DISH,2017-01-18,61.88,62.49,61.08,61.35,1346239,-0.53,-0.86,2017
IFF,2017-07-10,131.83,132.51,131.13,131.69,325684,-0.14,-0.11,2017
DOV,2016-06-24,68.81,69.35,67.28,67.46,1630301,-1.35,-1.96,2016
MOS,2014-05-08,48.51,49.1,48.43,48.6,1610137,0.09,0.19,2014
COO,2015-10-15,140.33,145.36,139.67,145.23,825882,4.9,3.49,2015
QCOM,2017-06-02,58.89,58.96,58.35,58.58,9538011,-0.31,-0.53,2017
DISCA,2017-07-25,26.49,26.64,25.62,25.93,7499245,-0.56,-2.11,2017
WDC,2014-02-27,88.9,89.2,87.53,88.42,1710466,-0.48,-0.54,2014
ROK,2016-01-15,89.9,92.42,89.48,91.68,1537660,1.78,1.98,2016
GPS,2014-08-27,46.44,46.56,46.05,46.18,2439236,-0.26,-0.56,2014
STZ,2016-03-28,150.52,151.45,149.17,149.41,1051470,-1.11,-0.74,2016
IQV,2014-02-24,54.0,54.0,53.0,53.63,414587,-0.37,-0.69,2014
RMD,2017-05-31,70.31,71.3,70.0,71.1,852169,0.79,1.12,2017
SNPS,2017-11-08,86.89,87.24,86.8,87.07,902251,0.18,0.21,2017
MCD,2017-09-07,158.47,160.06,158.33,159.9,2965378,1.43,0.9,2017
PBCT,2015-05-14,15.4,15.43,15.31,15.41,2132293,0.01,0.06,2015
LB,2016-08-26,77.05,77.24,75.95,76.26,959279,-0.79,-1.03,2016
GPN,2016-06-22,75.13,75.39,74.22,74.26,1110814,-0.87,-1.16,2016
RTN,2015-04-23,109.46,109.46,107.65,108.55,1950951,-0.91,-0.83,2015
ABBV,2015-09-30,53.54,54.5,53.36,54.41,11895458,0.87,1.62,2015
FOXA,2017-06-15,27.5,27.81,27.45,27.74,7331267,0.24,0.87,2017
CME,2015-03-30,95.45,96.04,94.96,95.29,1305515,-0.16,-0.17,2015
PPL,2014-07-02,35.08,35.09,34.16,34.33,4036038,-0.75,-2.14,2014
PGR,2017-11-28,52.05,52.82,52.02,52.78,3747837,0.73,1.4,2017
TEL,2014-06-11,61.97,62.18,61.7,62.02,1410870,0.05,0.08,2014
